gene_id,A01_R307fBr_a,A02_R307fBr_b,A03_R307fBr_c,A04_R357fBr_a,A05_R357fBr_b,A06_R357fBr_c,B01_R399fBr_a,B02_R399fBr_b,B03_R399fBr_c,B04_R517fBr_a,B05_R517fBr_b,B06_R517fBr_c,C01_R304fBr_a,C02_R304fBr_b,C03_R304fBr_c,C04_R360fBr_a,C05_R360fBr_b,C07_R304mBr_a,C08_R304mBr_b,C09_R304mBr_c,C10_R360mBr_a,C11_R360mBr_b,C12_R360mBr_c,D01_R307mBr_a,D02_R307mBr_b,D03_R307mBr_c,D04_R357mBr_a,D05_R357mBr_b,D06_R357mBr_c,E01_R399mBr_a,E02_R399mBr_b,E03_R399mBr_c,E05_R517mBr_b,E06_R517mBr_c
FBgn0036214,4,14,10,0,0,3,9,16,4,3,0,4,0,4,27,29,13,8,21,17,23,43,19,8,12,7,0,5,0,6,16,8,0,0
FBgn0014931,49,73,75,79,61,63,32,53,63,68,44,72,55,34,49,24,44,14,29,23,27,22,22,55,43,44,58,37,29,43,35,50,29,67
FBgn0014930,825,1573,1047,1018,995,1161,973,975,1002,1064,772,938,1257,1163,1217,988,922,587,801,714,1080,1055,814,1191,1280,845,1346,828,932,1275,1098,1398,741,1042
FBgn0032868,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
FBgn0264483,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,2,0,5,0,0,0,2,0,4
FBgn0027562,186,374,124,226,81,54,83,104,50,184,31,132,78,36,70,181,86,25,21,24,147,75,80,207,146,116,51,90,38,136,73,58,20,50
FBgn0027563,67,115,26,221,76,51,115,45,52,154,29,48,59,48,83,110,28,28,24,27,78,34,22,83,68,69,57,47,56,76,47,75,33,31
FBgn0027560,1741,2333,1233,4471,1964,1735,3377,1917,2122,3309,848,1332,1956,1893,3671,2910,1836,498,876,625,1910,1137,1261,2810,1333,1322,969,599,871,2628,979,1138,593,1097
FBgn0027561,4106,9268,8277,6197,8316,8977,5939,6517,7645,7387,6285,6991,7053,7150,9269,6725,5968,3844,6101,5209,6175,6426,5702,7348,7149,6176,5976,5657,6161,7367,7191,8008,5334,8976
FBgn0027567,10446,26671,26935,18380,23761,28808,18557,22022,24092,22119,22664,23140,19851,20526,30216,21733,20967,12920,19388,17096,19652,20661,18567,21232,20703,18345,14762,18229,20650,22876,24767,26451,19210,30385
FBgn0027564,1512,3417,2716,2223,3053,3173,1896,2028,2301,2120,1690,1859,2789,2391,2973,2424,1995,1173,1967,1547,2499,2263,1783,2745,2919,1973,2812,1983,2332,2752,2285,2709,1575,2589
FBgn0027565,888,1657,1495,1272,1460,1488,1025,1051,1200,1394,1349,1380,1068,1096,1305,816,785,633,811,749,762,753,574,1165,1249,1094,1239,919,945,1130,1050,1288,1155,1738
FBgn0027568,2291,5443,5019,3452,4763,4969,3340,3829,4559,4055,3816,3673,4200,4068,5404,4318,3935,2674,3978,3523,4195,4206,3653,5160,4982,4145,3761,3631,3978,4745,4406,4870,3213,5490
FBgn0027569,2165,4930,4725,3299,4132,4586,2926,3519,3801,3558,3492,3852,3842,3638,4762,3684,3715,1995,2963,2525,3589,3492,3022,3859,3787,2975,3091,2681,3072,3631,3639,4154,3072,4671
FBgn0266044,16,21,4,11,8,12,14,14,10,17,16,21,24,21,11,7,6,25,21,21,10,19,7,7,23,14,9,4,4,19,19,15,7,16
FBgn0266045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
FBgn0266046,18,58,50,49,45,44,50,49,34,59,24,48,62,53,70,28,39,24,33,34,42,35,20,55,53,34,27,15,20,56,44,57,22,49
FBgn0266047,0,4,2,5,7,6,8,7,7,4,10,7,5,6,2,0,5,0,2,2,3,3,4,2,0,0,3,2,0,1,5,0,0,0
FBgn0266040,4,5,0,0,0,2,0,1,1,2,1,2,0,0,0,0,1,0,0,1,0,0,1,4,1,2,0,2,3,0,1,0,0,0
FBgn0010438,250,517,320,556,506,439,339,293,317,356,370,366,498,420,420,443,282,264,335,269,449,504,293,469,461,310,570,424,432,466,375,389,284,506
FBgn0266042,393,593,496,308,243,383,564,639,585,445,89,247,548,303,317,393,412,72,113,121,129,110,63,257,238,384,227,130,182,286,299,354,92,131
FBgn0266043,9,14,27,5,0,6,1,1,2,0,0,3,3,1,0,0,0,0,0,0,0,4,2,8,1,2,2,3,2,2,1,1,0,0
