"","gene_id","seqnames","l2fc","qval","sex"
"1","FBgn0000028","X",-0.332101618172214,0.00279002143688551,"f"
"2","FBgn0000042","X",0.129903074157917,0.000148261761033414,"m"
"3","FBgn0000045","3L",0.724229766322862,1.78590484332885e-08,"m"
"4","FBgn0000057","2R",0.100341587279599,0.0179827316527896,"m"
"5","FBgn0000064","3R",0.123834451981144,1.57652840999409e-09,"m"
"6","FBgn0000071","3R",-0.635190236894512,0.00979165200535977,"f"
"7","FBgn0000084","X",-0.274329187235045,0.000871580806503531,"f"
"8","FBgn0000152","X",0.544489934054512,2.46672034381081e-22,"m"
"9","FBgn0000157","2R",-0.137697330132548,0.00587420092185027,"f"
"10","FBgn0000163","X",0.178899933152035,0.0421233141367581,"m"
"11","FBgn0000173","X",-0.231891396213277,4.97881556475636e-10,"f"
"12","FBgn0000179","X",-0.19136824324882,0.00107603331246392,"f"
"13","FBgn0000221","X",0.500860061256965,9.19658288581453e-16,"m"
"14","FBgn0000257","X",0.383585180464616,5.07194290596632e-85,"m"
"15","FBgn0000261","3L",-0.192973565309834,0.0203008130211309,"f"
"16","FBgn0000303","3R",0.129405703608088,0.00144534531495273,"m"
"17","FBgn0000316","X",-0.275285739721694,1.41205040279816e-22,"f"
"18","FBgn0000330","X",-0.316309826301149,8.59165828630439e-16,"f"
"19","FBgn0000346","X",0.189410137817218,6.34514917532184e-17,"m"
"20","FBgn0000351","2L",-0.267250664183125,0.042148451307612,"f"
"21","FBgn0000376","X",-0.172143117632279,0.0145774865057091,"f"
"22","FBgn0000394","X",-0.151868084455919,0.0355208587912447,"f"
"23","FBgn0000404","3L",-0.221239546802721,0.00984175382065701,"f"
"24","FBgn0000442","2L",-0.642247084315965,1.10102936350076e-09,"f"
"25","FBgn0000459","X",-0.19215231132212,0.0147212735061477,"f"
"26","FBgn0000473","2R",-0.220082351633965,0.000225549872850994,"f"
"27","FBgn0000490","2L",-0.21134686017754,0.0393925549572413,"f"
"28","FBgn0000504","3R",0.396006000731352,0.000426561581854658,"m"
