genes,A07_w501fBr_a,A08_w501fBr_b,A09_w501fBr_c,B07_FA03fBr_a,B08_FA03fBr_b,B09_FA03fBr_c,D07_w501mBr_a,D08_w501mBr_b,D09_w501mBr_c,E08_FA03mBr_b,E09_FA03mBr_c
FBgn0012820,0.401324,0,0,0,0,0,0,0,0,0,0
FBgn0012821,0.941689,0,0,0,0,0,0,0,0,0,0
FBgn0012823,16.056301,0.80199,0.588776,3.716216,1.016518,1.351499,1.333836,0.775723,0.432289,0.604043,0.831306
FBgn0012824,183.247955,234.507294,51.390388,569.273254,4611.602539,4134.255859,53.315487,89.715576,180.698807,281.715424,314.768982
FBgn0012825,1461.500122,1486.220825,1545.748291,2150.955811,2.536235,1.88538,1432.189697,1202.756226,1489.824829,2039.722656,2255.684326
FBgn0012826,19.073303,9.909854,7.149465,2.94381,5.158302,5.006776,20.540133,9.958802,7.81877,5.596071,3.520145
FBgn0012827,5.855823,2.500208,0.807279,3.418936,6.152395,3.53782,5.56725,5.988796,0.914116,3.402352,3.052516
FBgn0012832,47.604065,46.913208,43.161465,28.468319,22.856655,20.61438,66.110077,28.476627,56.889988,28.368092,27.635778
FBgn0012837,350.016022,378.759369,382.774017,341.690765,340.761169,324.393738,392.053772,339.20047,354.176666,351.012726,361.950226
FBgn0012838,299.244049,316.855133,297.952454,331.323944,333.27713,266.110077,313.394165,262.685822,326.500732,260.751282,568.464417
FBgn0012840,1125.18103,680.850098,1154.116089,784.261047,1306.074707,749.64978,1101.072021,846.259277,818.982117,723.785156,884.064514
FBgn0012844,30.011549,8.580667,5.706161,17.336422,19.732901,9.437476,11.489609,17.332279,10.801603,8.271385,12.359246
FBgn0012845,1014.985229,1180.422485,909.360474,1781.011353,1669.430664,1534.839478,856.666931,968.048096,1036.134033,1301.463135,1523.291016
FBgn0012846,15.537271,16.83663,15.630532,12.859848,13.362488,15.671417,11.642698,12.316073,12.311976,11.244611,11.821033
FBgn0012849,22.190994,20.035995,20.404449,14.436,18.847029,13.538273,27.018961,21.405704,26.365948,20.005852,20.694464
FBgn0012851,251.678009,350.523041,316.075897,324.790314,337.824341,468.992157,262.601105,309.764618,229.796722,296.634827,283.180328
FBgn0012854,1211.360107,1109.162842,1159.047607,1289.001709,1305.662598,1091.600342,1327.744995,1185.27478,1279.064209,1239.421143,1372.82251
FBgn0012859,2877.827393,2726.672852,1790.38269,1496.116455,975.025452,1207.175659,22.364384,18.963264,21.898485,8.06476,8.754647
FBgn0012860,4.002523,5.600131,4.237352,4.985793,8.493646,4.757847,8.509466,6.595035,7.448461,8.47219,10.57396
FBgn0012864,0,0,0,0,0,0.040186,0,0,0,0,0
FBgn0012866,6.914097,7.433268,6.00085,6.064807,6.27242,7.791692,5.079492,5.355314,5.501552,6.106717,5.063766
FBgn0012868,0,0.049477,0,0,0.016997,0.107147,0,0,0,0.041224,0.044204
FBgn0012892,0,0.125722,0.090145,0,0,0,0,0.172241,0.100703,0,0
FBgn0012893,0,0.043002,0.115825,0.106714,0.065527,0,0.032996,0,0.034445,0,0.047237
FBgn0012901,124.176247,113.643875,132.010071,123.519806,115.984245,119.369904,106.467155,104.840584,107.141426,83.870155,82.227066
FBgn0012902,0,0,0,0,0,0,0,0,0.155525,0.322111,0.301843
FBgn0012903,0.415465,0.349784,0.554206,0.319721,0.306856,0.381817,0.064811,0.098125,0.379219,0.048544,0.195475
FBgn0012904,51.682911,59.075466,61.494583,54.575817,55.620075,54.747684,54.747364,56.99688,58.035103,52.196365,57.06625
FBgn0013875,0.400758,0.121168,0.134669,0.142521,0.113667,0.128212,0.204933,0.118084,0.088986,0.299803,0.232921
FBgn0013883,264.120728,255.857529,258.072052,283.169647,307.787872,304.083282,252.304153,259.305542,248.910385,264.926788,276.025513
FBgn0013884,11.462058,7.852107,6.317707,6.566567,3.888546,5.153534,7.47056,5.338166,4.97721,4.255016,4.934793
FBgn0014814,0.851283,0.936467,0.367998,0.62701,0.686331,0.850544,0.773957,0.643902,0.455316,0.93799,0.615786
FBgn0014820,0.001167,0.005771,0.003716,0.001952,0.001655,0.002536,0.003184,0.004658,0.00336,0.003332,0.002556
FBgn0015169,0.843413,1.009164,1.015485,0.956962,1.084011,1.208543,1.131256,1.310662,1.419605,1.61818,1.650107
FBgn0015670,32.332348,38.907486,38.21402,35.524807,36.945892,41.281433,33.560745,37.270161,38.735241,45.55492,42.60051
FBgn0015673,1.013361,1.308956,1.258658,1.053784,0.829425,0.940065,1.048856,0.926607,0.779732,0.948553,0.92105
FBgn0016334,320.728394,353.176605,364.786316,344.286987,325.492188,337.417206,326.955017,296.50531,336.862457,339.204895,344.332367
FBgn0016340,0.141177,0.109375,0.121902,0.178144,0,0.11795,0.055764,0.053075,0.029203,0.039149,0
FBgn0016343,191.997253,189.962585,173.902267,166.786453,146.832352,258.520721,86.592262,90.640694,71.355789,98.337082,88.497543
FBgn0016346,11.75947,10.409118,13.490939,5.236804,9.717373,6.957568,11.402011,8.56181,7.847666,6.467542,7.11229
FBgn0016348,42.023743,61.328819,56.500732,40.980545,41.569969,38.83469,63.050613,42.264523,49.501049,47.75761,44.559414
FBgn0016352,5.084209,7.767148,6.7578,6.955823,6.893308,7.756525,5.828697,6.455173,6.660837,5.742626,5.551632
FBgn0016353,3.924651,4.353859,4.497607,2.857898,2.613312,3.152495,4.024159,3.561604,4.744267,3.868375,3.293552
FBgn0016355,0.029959,0.040357,0.022489,0.016117,0,0,0.029676,0,0,0,0.055339
FBgn0018225,14.127634,10.962449,8.694963,9.582479,20.829046,6.294478,10.999479,23.907845,20.687941,10.007811,20.982437
FBgn0018281,64.580856,67.477577,70.911644,70.655548,73.907593,84.862373,63.35498,68.304268,69.077339,77.436707,73.560516
FBgn0018282,0.862718,0.996438,1.671077,0.559538,0.727588,0.804631,0.380225,0.309456,0.429512,0.479786,0.318681
FBgn0018304,0.720396,1.516282,1.471619,0.484967,0.837539,0.978568,1.07632,0.964953,0.965816,0.972539,1.152153
FBgn0018327,82.982079,97.615013,99.36087,98.751915,97.52977,94.752426,102.248413,99.790627,104.434418,103.411606,100.387177
FBgn0020076,26.525257,27.24387,28.089994,23.764706,25.616798,28.283039,21.497387,22.501057,26.498997,29.514523,28.380466
