gene_id,A07_w501fBr_a,A08_w501fBr_b,A09_w501fBr_c,B07_FA03fBr_a,B08_FA03fBr_b,B09_FA03fBr_c,D07_w501mBr_a,D08_w501mBr_b,D09_w501mBr_c,E08_FA03mBr_b,E09_FA03mBr_c
FBgn0194325,4723,4934,4493,4643,4776,5063,5564,4425,5790,4668,4172
FBgn0184597,57,48,51,61,58,61,59,48,68,45,60
FBgn0194324,9302,10196,9344,7923,8813,7750,13038,10434,13416,8396,5232
FBgn0185390,3341,3045,2736,3602,3513,2744,4953,3681,4638,3196,3350
FBgn0194327,307449,338938,302287,328872,349840,392931,450299,367183,424660,336371,319079
FBgn0194616,6,7,0,9,0,3,2,0,0,2,1
FBgn0192037,3389,3412,3407,4768,5075,4070,5317,4308,5639,4842,5270
FBgn0190052,0,0,0,0,0,0,0,0,0,0,0
FBgn0194321,5757,6010,5438,5062,5640,5575,6964,5965,7214,5233,5205
FBgn0270080,6,10,8,8,9,9,8,6,16,11,3
FBgn0182076,391,493,412,566,589,473,765,549,707,595,600
FBgn0189757,1390,1438,1208,981,1082,902,2059,1547,1925,1048,1059
FBgn0268977,3,0,0,3,3,0,7,6,2,0,2
FBgn0268167,13,16,2,8,16,8,3,2,5,8,7
FBgn0268166,1746,1456,1453,1374,1424,1211,2182,1555,2147,1330,1454
FBgn0269434,1037,1131,972,1092,1065,1125,1351,1098,1437,1085,1100
FBgn0189752,6781,6695,6612,8566,9280,9346,9279,6774,9079,9752,10590
FBgn0189753,1061,1108,1000,953,1153,984,1633,1190,1427,1023,1043
FBgn0196961,3,0,8,28,19,12,16,8,5,15,18
FBgn0268998,28687,31381,26383,26473,28279,31376,31188,25668,28170,27606,21840
FBgn0268999,0,0,0,0,1,0,0,0,0,1,0
FBgn0268994,0,0,0,0,0,0,0,0,0,0,0
FBgn0268995,0,0,0,0,0,0,0,0,0,0,0
FBgn0268996,41,80,24,82,57,75,52,48,51,76,114
FBgn0268997,3,0,3,3,0,2,5,3,5,3,9
FBgn0268990,698,804,651,725,557,671,970,753,1067,560,688
FBgn0188502,617,732,619,513,497,558,737,587,763,563,571
FBgn0268992,0,0,0,0,0,0,0,0,0,0,0
FBgn0268993,17,0,16,21,19,16,7,11,0,9,0
