genes,A10_Ta18fBr_a,A11_Ta18fBr_b,A12_Ta18fBr_c,B10_CY07fBr_a,B11_CY07fBr_b,B12_CY07fBr_c,D10_Ta18mBr_a,D11_Ta18mBr_b,D12_Ta18mBr_c,E10_CY07mBr_a,E11_CY07mBr_b,E12_CY07mBr_c
FBgn0013162,4510.540039,4865.484375,4976.898438,3671.3396,3911.914795,3724.73584,3975.208496,4140.321777,4745.824707,3933.109131,3646.616943,3501.481934
FBgn0013163,2.398954,3.551914,3.736477,1.885901,2.657813,2.860157,4.22691,2.635702,3.719978,2.258806,1.750934,2.3897
FBgn0013164,3.583653,2.082084,3.190696,1.247109,1.61133,1.972859,3.560728,1.851959,1.249691,1.251472,2.202967,1.528296
FBgn0013165,3.02676,5.504917,2.098842,2.822724,2.180397,1.911124,2.221895,1.6836,1.748237,1.248673,1.217513,1.416571
FBgn0013166,1.665309,2.688917,0.775303,2.369482,1.035969,0.73912,1.068461,0.997265,1.133847,0.436002,0.923312,0.527138
FBgn0013168,278.424194,218.281784,258.029999,237.087036,250.172043,252.183411,235.299011,218.364212,221.63858,238.823761,217.29187,211.647705
FBgn0013171,532.039795,466.33078,474.614227,420.744293,418.839355,409.163635,484.635223,518.616516,464.206116,437.93515,427.867706,406.299255
FBgn0013172,0,0,0,0,0,0.156856,0,0.166157,0,0.103624,0,0
FBgn0013173,0,0,0,0.237877,0.164509,0.041642,0,0,0.159411,0.376182,0,0
FBgn0013174,0.961749,1.114949,1.185986,0.771282,1.611887,1.357181,1.324579,1.487819,1.160093,3.009703,1.683125,1.934103
FBgn0013176,0.016327,0.035597,0,0.612668,0.276232,0.302455,0.015553,0.015828,0.08437,0.29811,0.703975,0.432945
FBgn0013924,1506.05957,1325.427002,1425.20166,1378.333862,1331.960327,1242.583008,1627.954956,1452.048218,1467.790161,1713.081299,1423.295654,1383.946777
FBgn0013927,0.271807,0.166669,0.402623,0.089403,0.144163,0.119014,0.111155,0.167079,0.123016,0.086057,0.100685,0.178679
FBgn0015215,16.683029,13.373838,22.22035,32.760483,13.93114,10.658314,21.337057,11.35338,15.343494,28.605362,11.296971,12.531522
FBgn0015691,6.459606,6.108379,5.84474,2.690981,2.370002,2.181571,8.055108,6.83202,5.920894,3.375511,3.613,3.783297
FBgn0017652,418.549286,394.013428,393.25528,460.324951,440.830383,440.671967,428.573364,428.559814,403.473297,517.089844,456.695862,477.376862
FBgn0017654,0.153843,0.289503,0.087375,0.182875,0.085205,0.428432,0.031594,0.138634,0.095293,0.400798,0.384391,0.143368
FBgn0020061,21.502808,20.212917,17.302786,34.484955,36.366489,37.86845,16.819147,20.104265,20.114511,28.614882,32.466476,36.666557
FBgn0020062,0,0.047477,0.117305,0.591699,0,0.269241,0.315474,0.126722,0,0.123361,0,0
FBgn0020063,1.908336,1.76703,2.138323,1.844826,2.657587,2.618875,2.215339,1.95436,1.986495,2.20146,2.439985,3.111729
FBgn0020664,3.46436,1.749406,1.375387,2.567465,1.117445,1.406053,6.379481,1.683677,0.869018,4.215991,1.766754,2.278852
FBgn0020665,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0020944,151.498306,136.150696,154.209656,126.512337,121.42556,117.936951,137.156784,133.004303,133.537857,147.124207,129.877579,134.120361
FBgn0020945,17.941637,12.00824,15.522806,14.685535,15.851524,14.071259,23.077379,17.368799,17.983088,21.460369,7.575206,22.372826
FBgn0020949,9.016878,8.505781,5.796356,4.399326,4.665705,3.779913,4.181597,3.831326,4.964936,3.883766,3.817406,4.588537
FBgn0020950,276.233887,329.844971,279.422668,294.554047,324.346466,326.471405,274.25647,312.125366,333.5448,279.489441,338.30542,354.049591
FBgn0022409,41.401421,73.896935,62.50148,42.634983,46.190048,41.306499,53.040245,65.687065,71.97924,34.865555,43.722878,49.888561
FBgn0022412,169.924698,143.586639,164.158447,152.618881,131.854782,142.526886,167.246841,164.099472,166.491364,189.909805,166.20285,145.841888
FBgn0022414,14.756541,15.292399,15.086859,22.985289,16.946642,18.487955,16.595987,18.056238,17.103363,18.77667,19.910238,16.385427
FBgn0022418,56.255386,54.202763,53.446724,54.255219,56.295692,52.847198,48.76825,48.894787,51.347275,48.980808,49.415321,52.874004
FBgn0022816,43.14426,44.8713,41.929214,38.620422,45.041229,44.232433,37.284546,37.578594,37.55212,38.027431,38.306408,38.638065
FBgn0022818,10.798176,8.357486,6.471047,7.686872,6.17263,4.820842,4.855212,2.388017,2.982433,4.69143,3.749293,4.73518
FBgn0022822,296.223907,285.429718,272.270569,290.967804,292.995605,280.371094,275.759338,294.003265,259.849304,260.703369,274.070038,271.326996
FBgn0022824,4.314784,5.527631,4.457098,4.023988,6.341599,4.823416,4.032048,5.473902,5.999999,3.812222,4.965679,6.380835
FBgn0022825,0.969135,1.352861,1.146778,1.582422,1.594094,1.562215,1.527026,1.305598,1.046387,1.355591,2.309096,1.678417
