gene_id,A10_Ta18fBr_a,A11_Ta18fBr_b,A12_Ta18fBr_c,B10_CY07fBr_a,B11_CY07fBr_b,B12_CY07fBr_c,D10_Ta18mBr_a,D11_Ta18mBr_b,D12_Ta18mBr_c,E10_CY07mBr_a,E11_CY07mBr_b,E12_CY07mBr_c
FBgn0234404,2,0,0,0,2,14,2,2,2,0,0,1
FBgn0236319,28,25,9,9,8,27,53,26,5,14,7,8
FBgn0236318,785,657,618,677,582,3065,769,748,833,894,617,583
FBgn0236315,792,721,740,1092,824,4287,811,740,1022,1122,816,735
FBgn0236314,3273,2510,2653,3093,2638,14001,3630,3335,3535,3164,2939,2402
FBgn0236317,1004,905,889,1049,876,4279,954,1037,1072,977,907,841
FBgn0236316,2694,2067,2043,2531,1992,10307,2712,2436,2796,2708,2122,1966
FBgn0236311,967,1091,904,1197,1144,5986,996,1132,1335,985,1171,1089
FBgn0236310,12306,9625,10009,11617,8110,44954,12669,12246,12841,14315,9758,8642
FBgn0236313,4689,4125,3847,4143,3590,19662,4957,4911,5014,4887,3827,3494
FBgn0231472,83,35,57,21,12,98,45,10,28,23,10,25
FBgn0231479,0,0,0,0,0,0,2,0,4,0,0,0
FBgn0231478,1008,37,65,73,32,220,330,41,133,174,44,34
FBgn0230876,60211,57404,50858,53814,52759,266090,62369,66060,76666,55434,56576,51287
FBgn0230877,76,65,42,70,83,287,44,66,66,97,53,64
FBgn0230874,1091,1161,1046,1248,1242,6140,1188,608,1328,1145,1169,1185
FBgn0230872,241,244,197,165,167,1006,272,243,225,130,126,129
FBgn0230873,2,0,0,6,1,8,2,2,0,7,3,0
FBgn0230870,32,46,21,26,22,144,34,44,53,18,35,23
FBgn0230871,2,0,13,5,12,84,8,16,4,20,15,5
FBgn0230878,0,3,1,17,5,44,2,2,6,16,10,18
FBgn0230879,29,20,23,24,22,101,48,37,29,27,19,28
FBgn0233340,4037,3510,3094,3214,3114,16155,3740,3887,4304,3500,3076,2840
FBgn0231474,0,0,0,5,6,16,0,0,2,0,5,3
FBgn0231477,0,0,0,0,0,0,0,0,2,0,0,0
FBgn0231476,7,0,0,0,6,3,24,0,0,5,4,0
FBgn0239171,2,0,3,16,2,8,0,1,0,4,3,3
FBgn0231473,47,31,19,25,16,125,43,22,39,27,14,9
FBgn0230214,888,761,615,872,758,4208,778,823,813,941,776,713
FBgn0236312,172,148,139,152,133,713,206,215,217,168,133,117
FBgn0240599,31,20,20,5,10,14,28,19,22,10,5,8
FBgn0240596,24,13,17,26,23,152,27,20,50,29,60,20
FBgn0240597,15553,17183,16707,20488,15741,82099,25271,15734,22948,26962,19611,17107
FBgn0240594,41,19,11,119,77,276,27,23,19,50,45,65
FBgn0240595,1552,1453,1350,1497,1282,7014,1676,1566,1723,1735,1506,1361
FBgn0240592,1950,1155,1628,1267,1062,6565,757,772,991,736,601,644
FBgn0240593,0,6,0,0,0,2,8,0,3,0,4,0
FBgn0240590,2,3,9,0,0,0,5,24,8,0,0,0
FBgn0240591,389,449,332,297,303,1310,443,531,589,285,271,280
FBgn0276918,7,7,2,2,2,18,7,1,0,2,3,4
FBgn0242999,8191,13951,9089,15788,16522,92621,12238,14172,17710,10133,15098,16938
FBgn0242252,0,0,0,0,0,0,4,0,0,1,0,0
FBgn0242994,414,306,315,1343,1003,5371,396,372,409,1652,1157,964
FBgn0242995,2,2,2,2,2,2,2,2,2,2,2,2
FBgn0242996,8204,7324,6066,6843,6178,33731,8091,8535,9073,7660,6470,5993
FBgn0242997,3241,2871,2323,3134,2826,15311,3129,3531,3751,3477,3091,2737
FBgn0242990,24108,26453,22540,34236,31871,152294,27788,31495,35895,29093,27730,25105
FBgn0242991,18,26,29,18,23,105,32,9,21,20,24,6
FBgn0242992,187,112,70,77,60,227,94,48,71,55,65,58
FBgn0242993,30,28,13,61,27,119,33,32,32,49,38,23
FBgn0234226,15,27,11,27,22,84,2,20,4,17,7,6
FBgn0239306,458,554,462,881,572,3166,427,518,520,639,495,482
FBgn0277320,2,2,0,0,0,14,0,4,5,5,0,0
FBgn0230252,24,20,20,15,12,105,20,35,28,10,11,18
FBgn0230253,1352,1176,1027,1258,1155,6090,1138,1375,1438,1237,1050,1065
FBgn0230250,0,0,2,0,0,0,0,0,4,0,0,0
FBgn0230256,2605,2042,2000,2662,2341,11642,2696,2556,2827,3184,2611,2136
FBgn0230257,3836,2933,2919,3123,2878,13093,3442,3318,3973,3528,2771,2612
FBgn0230255,1567,1322,1241,1789,1811,8993,1516,1448,1671,1538,1614,1577
FBgn0234414,2618,2178,2158,2363,1779,10232,2593,2508,2581,2788,2078,1977
FBgn0230258,0,0,0,9,0,6,4,0,2,0,5,0
FBgn0230259,3728,3277,3037,4315,3755,20936,4087,4156,4702,5335,4212,4006
FBgn0238407,0,10,6,4,0,16,0,4,0,2,4,0
FBgn0238406,3,0,0,0,0,0,0,2,0,0,0,0
FBgn0238405,34,15,5,19,3,35,19,19,11,11,23,8
FBgn0238404,5,82,2,8,5,16,18,0,2,16,3,2
FBgn0238403,14,44,6,3,3,32,51,2,7,16,5,0
FBgn0238402,9,2,0,10,4,16,5,2,1,11,1,3
FBgn0238401,743,535,489,568,525,3088,695,660,739,658,539,515
FBgn0238905,0,5,0,0,1,5,3,0,7,0,0,0
FBgn0238409,4354,3788,3308,3687,3175,17213,4138,4003,4616,4209,3488,3291
FBgn0238408,4,3,10,0,4,19,12,0,8,2,3,0
FBgn0229728,16,10,0,9,4,25,13,3,11,9,11,5
FBgn0232069,0,0,0,0,2,8,4,0,3,0,0,0
FBgn0234601,2,0,0,0,0,2,0,0,0,0,0,0
FBgn0231879,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0240313,0,1,0,0,0,1,0,0,0,1,0,0
FBgn0238241,8580,7194,6501,9769,8549,47609,9013,9130,9513,11009,9093,8929
FBgn0231405,2788,2221,2074,2166,1875,9041,2881,2572,2829,2576,1927,1713
FBgn0242338,8561,8189,7528,8693,8477,44941,8990,9675,10546,8105,8654,8433
FBgn0242339,600,411,378,341,412,1361,386,321,406,346,313,275
FBgn0275626,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0275627,2932,869,319,1727,290,6497,7705,1232,70,4755,524,1120
FBgn0235758,2523,2368,2000,2032,1726,8584,2515,2512,2839,2124,1700,1649
FBgn0275621,1690,1788,1465,2282,1814,11299,1861,2019,2212,1817,2196,2102
FBgn0235208,0,0,0,7,8,26,4,0,4,4,0,5
FBgn0235209,9138,7254,7665,10086,8410,42131,10056,10054,10780,9071,8117,7439
FBgn0242330,1675,1826,1616,1720,1653,8244,1581,1888,2070,1319,1546,1442
FBgn0235207,4632,3820,3565,4025,3786,19870,5138,5402,5796,4253,4350,3952
