MS_sp MS_st
2.8093409965 0.5284364292
4.9857112338 0.7227377978
0.9683725353 0.4614335703
3.3111384643 0.1621580644
4.9593460106 0.0521029879
3.1305226996 0.5270474346
1.0016221582 0.1964686227
0.0376080111 0.2490881899
2.2634837558 0.2999777861
1.9173613801 0.7910060038
1.9510616244 0.7964683867
21.708296373 3.0256840619
0.896827302 0.1642344142
16.798177531 0.3389869983
2.3463126338 0.0503787555
1.1113023793 1.7577307403
10.064899926 0.5080109532
3.5166278751 0.2185486409
3.3731186622 11.299740232
5.3597591539 4.8255418829
3.56722959 1.612239997
0.4492753883 0.5009377772
0.3011523996 0.299311861
4.3476442783 0.2198549248
3.7958621612 0.2139858269
1.90696543 0.0567846537
32.686797846 0.0124370374
1.9059500919 0.0561781457
3.7805494474 0.1716862527
1.3083816479 1.7241748072
1.1954499641 1.8339097571
4.9176301193 0.080699672
16.280836004 0.300529569
8.7878088897 0.4550188409
0.1066983873 0.3526408153
10.156014126 0.6470345141
0.6022937346 2.3546801593
4.7847544633 0.0612467082
42.982710423 3.4246420252
1.5304391262 0.6458712804
0.5303685098 0.1614635513
1.1528482452 0.4586980964
1.1386524577 1.0782894001
0.9928926177 0.269047863
2.2548949157 0.4205227691
1.8043065574 1.5860283674
1.7681121862 0.2267495637
3.6647933467 0.1132030494
1.2158912099 0.2382001092
2.6762487903 0.1159035724
4.1965450117 0.4913807728
5.2436282239 0.0927497443
2.7112027025 3.8546248215
0.3511089972 0.4413874562
10.376569811 0.5493429753
0.2602187929 0.2927928208
1.0219836856 0.1730342585
12.895461411 0.0353759802
3.3545228021 0.0946120117
1.8479669307 0.1522872946
0.7167105788 0.114591347
0.9722006 0.5431795681
9.5407275376 0.0574397354
1.1230272204 5.4439354634
0.9292894288 0.3003247322
0.4752460083 0.4169547269
1.524871453 0.2787873635
1.8065935706 0.2192988188
0.5122609019 0.5177712704
2.4844266966 0.1701832673
4.258718847 0.1968009884
2.3599373895 0.2064186744
9.0100098791 0.0298091528
3.6143831049 0.1076584209
0.9784852568 0.1998193193
2.74030224 0.0736761318
1.1434588846 0.3142016222
2.4535532247 0.2175574092
1.3896677148 0.2946651806
29.320513835 2.3039886946
1.8392049765 0.1118027365
2.7892528631 0.0406454815
3.6630095386 1.7005321764
1.092109526 0.6498055862
12.925355195 4.4826584292
6.5202419423 4.1684474989
2.3802912835 2.2041947193
3.5779813529 0.1212027979
2.5255349703 0.1187266539
0.546185978 0.0951584421
5.0928300214 0.4310942582
5.9569745453 0.2156490365
67.491218243 0.2813768606
1.3211976526 0.6731183397
0.3811404002 1.0270279167
3.6987620751 0.4052745397
0.1493739535 9.6826134696
1.3720010978 0.8703937883
1.2527829542 0.2010295508
0.1110853013 0.1433975478
1.5613710123 0.1846547836
2.0447887701 0.1245823419
4.7869109192 0.275669869
3.2458590875 0.473443931
1.5980714176 0.4978100039
9.4730150236 0.2596472828
5.5483680359 0.2130010442
2.74477832 0.626970711
58.669554051 1.0121677058
28.240448743 0.9567565753
6.186200167 0.319368015
3.4580257663 0.5194673175
1.125996157 0.3024466771
0.6485793734 0.4776993095
3.7826967613 0.7460022864
0.7118724219 4.0058661657
2.1851879393 0.2793714582
6.488524104 0.0239529784
3.9280092113 0.2954924833
1.6831474636 0.213097521
2.9401387151 0.0634085458
2.6786368861 0.0280390123
0.183116083 0.5186136781
0.9694713131 1.1708726511
4.2982217838 0.2770234316
21.373581435 0.7312042979
4.0611371512 0.5148697385
1.7981123674 0.1341373803
1.1130321571 0.5775440651
1.9200100188 0.1047217655
7.1113919523 0.4923533856
2.5683181632 0.4736856414
10.579294266 0.2705998742
3.878108682 0.3774281372
2.335257173 0.1319469811
0.2185869212 0.5425746152
11.861087992 9.4387473021
7.9431617763 0.4829742143
1.6056262452 0.3078356368
0.6472616427 0.3374460136
1.6000561632 0.4802746139
1.6305049143 0.2064394277
3.604955276 0.1335496185
1.3900647209 0.3953014998
3.4770392894 0.2167984083
3.0714467449 0.955009157
0.5500510756 0.4729227664
0.6954275352 1.241433289
1.3030756867 0.1169349898
6.6518962649 4.6323867794
8.5883081656 0.0479156531
1.6986736376 0.2295459799
3.405717383 0.1257414039
4.4077925222 0.1848191229
0.549435528 0.2507011437
2.2884336969 0.2366627903
29.720999889 0.3630765491
27.82953603 2.7449627449
2.5422707151 0.2615980031
2.1222793279 0.0552219957
3.3105252539 0.1851859847
2.1782062284 0.2174191436
4.3780955292 0.1146960133
1.8174954772 0.2495497252
6.3867917648 1.4331129375
2.0149150552 0.119360511
4.0335080755 0.7300678598
3.1862920042 0.2248437805
32.727935466 0.4825062113
1.0779934682 0.5690813409
2.1561333676 0.4052734791
1.1550792832 0.2277582287
4.7229167215 3.4621700488
5.7615996759 0.1651000363
1.6211340849 0.1134889484
11.492264193 0.6280750428
4.553420865 0.2161770355
0.951221117 0.5314771059
0.2368017711 0.8800736318
2.613032465 0.1941970025
0.1955760089 0.2358997494
4.1318641633 0.0501739468
5.7220614645 0.1229915347
19.10461834 1.6124952127
4.6446385949 0.7048536062
2.0977576668 10.675527928
2.5932478058 0.3486829652
3.3478379523 0.0331146078
0.8268159584 0.7241844529
0.6581666113 0.4807315036
2.6059972927 0.1600691045
1.1434179197 0.1233285852
3.2983277104 0.4675687488
5.1224640491 0.3132202119
1.159580663 0.3450527519
3.0886224488 0.196318224
0.1401509364 0.7679423339
3.0913307161 0.1770979929
29.905637661 0.9688644425
6.9565318613 0.3669934805
7.3361513825 0.2114180347
4.1371248583 0.6772334768
1.8119813684 0.6309918433
6.5689286014 3.1771773013
0.1083508799 0.6755341752
0.1362602343 0.4915307904
0.0973967549 0.1806670459
2.4934542885 0.1587848888
2.0851713155 0.7017123742
0.0662505978 1.2127768455
0.027494664 0.3956026119
2.9077058745 0.128207429
7.6707107215 0.0747831945
0.5032966502 0.8025291694
1.4421541075 0.2402482116
6.1141818514 0.8068474241
3.4316291348 16.227011232
1.8310215496 0.1958281649
2.8481817564 0.0733650322
2.9267132392 0.0770347917
2.4242511363 3.4323929695
3.1358878611 0.3657044083
0.7757939867 0.7727434067
1.5657251181 0.7157148378
1.9796470715 0.3538687173
27.260571277 3.7796230354
0.0075258021 0.3914273904
3.7423285727 0.6006960283
0.2116196696 0.0893264033
3.2242455756 0.3218698871
3.276754912 0.0581667563
1.4053194162 1.1371842497
2.6907786904 0.8179992261
6.0644365256 2.4556971452
1.7365411485 8.7662133551
4.0617654072 0.2925209081
0.9724950485 1.0281851356
6.6427314553 4.34450504
3.2953661276 1.38606799
2.3335692711 0.5691006943
0.649819437 0.1751504119
3.3072923153 0.9908657175
5.2141324687 2.7805288169
2.7089954014 0.1207628468
5.6183390069 0.3282879532
1.4512577276 0.3896535358
1.9557989894 0.2276141892
2.362135259 0.0469707452
30.649613613 2.3704697854
2.704624528 0.4149574975
3.4008763668 0.2615686083
6.5599231505 2.1301322925
13.07638365 2.6441810448
1.9111696215 0.8019707822
3.0102306981 0.1629147626
5.8246022796 0.1118999518
0.0959357189 0.9014099854
3.5099772317 0.1690279862
6.653194657 0.1296167076
4.9338156951 0.0586533741
1.0647389309 0.6783215923
3.1827425276 0.2285160572
0.443697049 0.5329874387
5.0357260269 0.9780478873
2.8143290894 0.037184106
0.8897890701 0.4013574049
2.9708278275 0.2081562558
3.5743349587 0.0581866966
4.3148627021 0.06902426
5.6569121654 1.6173628653
1.2425452258 0.2584702759
6.3118168458 0.1879021641
2.8587179454 0.6690803015
14.577785926 0.3698919708
0.9716196471 0.2202676186
5.373288791 0.3030215099
1.3461063302 0.4145192195
0.0458437961 1.0417265619
3.2364393439 0.0613899683
2.4774865216 0.179116825
1.2667681292 0.4715466071
1.8029654268 0.1047439903
3.7171814563 0.0644117338
5.7155571022 0.2559210362
0.3513184244 0.6188758201
2.7025379014 0.1125407477
3.7300457289 0.1335709064
2.3161696287 0.1598993102
7.6143820212 1.3264319477
3.1862430761 0.6274410455
8.2740367014 0.5135895723
1.144207046 0.4170747662
3.1000246915 0.2097129429
5.6597849082 0.1215476708
0.7670331124 0.1707554487
1.6837512289 0.291160206
1.9786449952 0.1646277584
4.8017358794 0.9177906083
1.5580218876 2.5977285492
2.4897304609 0.166941791
5.6528181444 0.0879671974
25.642701995 2.5004516784
5.2710653707 3.812866305
0.2088855932 1.1997194035
3.6866348158 5.7479112939
0.5212309997 0.2576423061
2.8840575467 6.0322893647
5.1387902839 0.2564793863
0.2955804935 0.3975364127
0.2095096267 0.4644801244
1.4140362133 1.0230671917
0.6056970582 0.4606151437
10.200154057 0.1238235828
2.0731491174 0.5085476646
1.3539600956 0.3133028167
1.2317745064 1.0059577663
1.5941498013 0.7485702262
3.0049485362 1.6623889314
6.9540087036 0.4519787535
4.7267460926 1.0424555088
5.0039879729 0.479846425
0.4612272399 0.5271512663
0.9957301203 0.1728030632
1.0361995437 3.9682218632
5.1147945997 0.3600131644
0.6922984506 0.21615477
4.8605330782 0.2394125427
5.3722303898 0.1501685049
1.4369420821 0.341272521
2.6010332241 0.1766639748
2.3030781302 0.0846489694
3.548500115 0.0470634078
0.2122360833 0.600764753
0.5992959938 0.7884083771
1.5694434978 0.362272094
55.020035575 2.8628192429
9.7570709745 1.6320928819
8.138001518 0.217835971
4.5424382084 0.4712647101
0.8790236795 0.2005563503
13.415874273 0.3867626679
11.020420739 0.3432227323
3.5903743785 1.5412970792
18.784235133 0.3203880868
2.6207136389 0.5059167719
20.080305991 0.0830130556
1.6278257061 0.1455276314
3.7392464276 0.0694616719
