MS_sp MS_st
1.4557969629 0.5187605607
5.8069092652 0.5901745556
0.6338241418 0.4358975348
4.0642159869 0.1810204846
5.1239193716 0.0850201779
3.2522099396 0.3524006287
0.789884653 0.1080756831
0.0080519064 0.2805943431
2.7047066115 0.1852280342
2.6496699583 0.5550432271
3.8248423866 0.5647694653
43.591540825 0.3432755379
1.2887912943 0.2022909329
13.549353691 0.6572500619
2.1856869379 0.0494692373
1.7274671949 1.6041143572
8.6802991621 0.5918178035
3.6995476751 0.1585474015
4.368190234 11.416727837
8.2725797148 5.5199822286
0.2354127479 0.2528437684
0.2299592108 0.2626795853
3.3145762337 0.3079306631
2.8574544338 0.3319302669
2.398048435 0.1705464482
31.723956537 0.0106550624
2.2365305284 0.0488011756
3.574329581 0.1451011669
2.5220927245 2.0001534393
2.4633067256 1.9058873752
4.9282814392 0.2055468885
13.821939439 0.3806346678
9.0325527921 0.5148360665
0.2972557747 0.5320700395
9.9030543355 0.2578686456
0.7237275418 1.9995583695
4.2361266077 0.1108572124
49.268712649 1.893597617
0.9432765795 0.7900280324
0.0138054714 0.8981804315
0.6449908697 0.4251732787
0.8038934797 0.9966350824
0.6221790979 0.3057163193
1.7226362014 0.1939306325
2.7885031876 1.6013003048
1.5515517512 0.2495876803
0.711920088 0.328115372
0.7820084246 0.1765844667
2.5006134403 0.1392283809
1.1356845766 0.5915928404
5.1231959617 0.0477749734
1.9003408503 5.1326908643
0.3910399015 0.6452067844
11.097790738 0.3008412429
0.2613733305 0.2828033784
1.7277716943 0.1624401875
9.5285554275 0.1951602304
2.2373240558 0.0968662316
1.9700528927 0.0860857501
0.8229038513 0.481749093
1.105036577 0.8689603938
8.0457397511 0.1552876168
4.3969042349 9.2672224809
0.9794666287 0.2521041319
1.0358598441 0.4117369689
1.8348267517 0.2662972761
1.7326909311 0.0999949098
0.3263139838 0.7064485328
2.6452328353 0.1276498781
3.8659705588 0.2438194692
1.9886453683 0.1944184674
5.9428579886 0.0689833092
1.7340795619 0.2355760038
0.3750793566 0.2684885701
2.533982052 0.0477134364
1.0588694562 0.3708445052
2.2839215486 0.4898811353
1.8168020179 0.3749787418
34.343760329 2.2903706975
1.5879014834 0.1621929442
2.3945052714 0.0608612647
5.6945803403 1.5965040136
1.0187716268 0.9155699669
28.515161259 1.8865710729
13.231941144 2.3644635616
0.6409123688 3.9801202586
2.6387724595 0.0851171275
2.8451072985 0.0551242902
0.6631056441 0.3569622269
4.5696800362 0.265678195
5.3801254696 0.2507887491
62.99584767 0.2210262401
0.7116224156 0.6390197381
0.258220247 1.2832873959
5.1072220395 0.3967814829
2.9412594899 9.6339805125
4.0564554899 0.502524026
1.3587849187 0.1580375969
0.1955961503 0.2522794374
1.1300406157 0.2297337552
2.1738320165 0.0639377457
3.7210496366 0.2843769949
5.3460183087 0.1683258203
0.9811796943 0.3019769028
4.5867474057 0.9256369128
4.2579361412 0.3195795026
2.7561079188 0.6573316247
69.106959185 0.3221337076
20.931455619 1.7079130375
5.843964919 0.3396578476
2.7282242743 0.5022880007
0.9648461299 0.2803959288
0.6529516831 0.4023232338
2.7031455524 0.5542589715
0.5463402286 4.2340714801
1.8382389531 0.341379728
6.6069551406 0.0518731697
2.7405179713 0.4210385098
1.1723396985 0.1674610564
3.5186753289 0.0932157854
2.0379124257 0.2850843329
1.4681810087 0.2411941595
1.7984620582 0.8542584603
4.1624367455 0.2040400623
19.343891686 0.6323615458
2.4640127675 0.4885494653
1.8872167452 0.0774104858
0.3488357226 0.6440009002
2.2874721605 0.1778326419
6.4934518638 0.3888569231
1.9147702694 0.2918088753
4.8976303487 2.6580274771
3.6781095649 0.2856000243
2.6184746452 0.1004350791
0.1000666666 0.6948349595
0.634195305 8.1639790259
7.8326207969 0.5369085341
1.4838661829 0.4569327797
1.1609327647 0.3158759134
2.4128496795 0.2144437896
0.8466825008 0.1141046425
4.3452993538 0.1603685385
0.2114669676 0.3260566568
2.6838271313 0.4571949526
8.2954152557 0.2965482076
0.2692653706 0.6459659452
0.9500114473 0.5571576448
0.593693388 0.2820672241
22.55487475 1.891334295
7.9287726011 0.0825067476
3.1194463302 0.1930295287
3.3945422798 0.1781815676
3.7714119249 0.1751108056
0.8742360312 0.0676487285
1.6894969086 0.0975258698
16.515723808 1.5594400315
1.394752264 0.3982934823
1.6740147861 0.1263637239
3.6893109064 0.0909675917
1.7046729567 0.1753246431
4.2824360393 0.0807316964
2.5278226245 0.4157966712
5.6652601116 0.4243326834
1.8411262251 0.3190114752
4.4959736964 0.6066116201
2.6957866681 0.255276167
12.468697643 0.1480088081
20.2591343 0.1010918814
0.8018262451 0.936573588
1.0550834321 0.4308439752
1.2787607422 0.1521050617
7.1503088566 0.1091511571
1.0072679137 0.1416685945
10.244654575 0.6946666435
4.5739474417 0.1911860942
1.759905786 0.8552318035
0.9330278907 0.7172053764
3.070437344 0.1215895383
0.2126896969 0.3410629899
3.7145240173 0.0874171977
5.2277103082 0.1390001656
20.411600958 0.6858610557
0.376493766 1.3705994755
3.9642470095 10.35436252
1.6961879404 0.3665903552
3.1897281161 0.0931682562
0.4450777636 0.7187927779
0.3052782009 0.5116390556
2.0695944832 0.2183233431
0.9575012249 0.1975015654
3.3246613315 0.3592268042
6.1212724349 0.2603588146
0.3454956299 0.3873944273
2.6756972773 0.1242145963
0.0563322146 0.9844210151
2.4442088367 0.2321750886
14.403781831 2.3381721232
4.9352675365 0.6767316504
7.2274716211 0.1122183585
2.9014484163 0.988867613
1.4075115694 0.3753766252
4.4075957365 6.6502768756
0.0368963378 0.6969476156
0.1161971431 0.1800283846
0.6420225026 0.0940439725
1.915616205 0.1619469748
3.7785788107 0.8567691379
0.0673532853 1.4163747715
0.058083508 0.2663542775
3.111741649 0.2264242987
6.1660302164 0.0836814841
2.0630831705 0.9990209261
0.5881367596 0.4214331561
1.7342331403 0.7847703198
0.7659162919 15.704755567
2.8649506618 0.2386406282
2.7266223337 0.1125341728
2.8267307019 0.0844210063
3.8860638643 1.3396158841
1.4660075206 0.3309440894
0.0484448239 1.2746339034
1.2888512417 1.4380071383
1.5952748318 0.218827258
18.545207398 5.9293324137
0.4388160343 0.3128312856
4.0412944686 0.9350611873
1.293529763 0.2068419778
3.3413298587 0.3692137239
3.0123118755 0.0801226757
0.8537857537 1.1288125406
3.7868116628 0.5444337259
3.7310754224 2.9524206686
5.471477678 6.8804065639
1.8539608432 0.9774193687
0.7914784195 1.5739743274
5.045623054 1.3314027533
1.8613204979 0.5349198981
0.1141615964 0.3425782238
4.408790944 0.8338564531
3.5917836103 1.4377690187
2.8672069707 0.1187952917
6.1745050133 0.1613613635
1.0418505868 0.2962366984
1.552625473 0.2557697733
