exp species strains
-0.532381157667792 Dmel R304
0.20592725284601 Dmel R304
0.451142303303797 Dmel R304
-0.523179189900334 Dmel R360
-0.549498670474237 Dmel R360
0.309996936703784 Dmel R360
-0.185939710995176 Dmel R307
-0.479417256983982 Dmel R307
0.0465046781866138 Dmel R307
-1.60632940750077 Dmel R357
-0.0103889031283441 Dmel R357
0.00927940079196948 Dmel R357
-0.108980783829132 Dmel R399
0.569128719235072 Dmel R399
0.218568900992909 Dmel R399
0.386069182402337 Dmel R517
0.239645428133903 Dmel R517
0.662786763183515 Dyak Ta18
0.73511551451023 Dyak Ta18
0.717033474565037 Dyak Ta18
-0.47943779038992 Dyak CY07
0.100000644535787 Dyak CY07
0.303447758233894 Dyak CY07
-0.144391523932033 Dsim w501
-0.0483675866690694 Dsim w501
-0.171255378200965 Dsim w501
-0.136014502283425 Dsim FA03
0.0209349043303243 Dsim FA03
